170	BN	N[C@@H](CC1=CC=CC=C1Cl)C(=O)O
171	BO	N[C@@H](CC1=CC=CC=C1Br)C(=O)O
172	BP	N[C@@H](CC1=CC=CC=C1I)C(=O)O
173	BQ	CC1=CC=CC=C1C[C@H](N)C(=O)O
174	BR	[C-]#[N+]C1=CC=CC=C1C[C@H](N)C(=O)O
175	BS	N[C@@H](CC1=CC=CC=C1[N+](=O)[O-])C(=O)O
176	BT	N[C@@H](CC1=CC=CC=C1C(F)(F)F)C(=O)O
177	BU	COC1=CC=CC=C1C[C@H](N)C(=O)O
178	BV	N[C@@H](CC1=CC=C(C(=O)C2=CC=CC=C2)C=C1)C(=O)O
179	BW	N[C@@H](CC1=CC2=CC=CC=C2C=C1)C(=O)O
180	BX	N[C@@H](CC1=CC=C2C=CC=NC2=C1)C(=O)O
181	BY	N[C@@H](CC1=CC=C(/N=N\C2=CC=CC=C2)C=C1)C(=O)O
182	BZ	N[C@@H](CC1=CC=C(/N=N\C2=C(F)C=CC=C2F)C=C1)C(=O)O
183	CA	N[C@@H](CC1=CC(F)=C(/N=N\C2=C(F)C=CC=C2F)C(F)=C1)C(=O)O
184	CB	C=CC1=CC(/N=N\C2=CC=C(C[C@H](N)C(=O)O)C=C2)=CC=C1
185	CC	CC(=O)C1=CC(/N=N\C2=CC=C(C[C@H](N)C(=O)O)C=C2)=CC=C1
186	CD	N[C@@H](CC1=CC=C(/N=N\C2=CC=CC(CCl)=C2)C=C1)C(=O)O
187	CE	N[C@@H](CC1=CC=CN=C1)C(=O)O
188	CF	C[C@H](COC1=CC=C(C[C@H](N)C(=O)O)C=C1)C1=CC=CC=C1[N+](=O)[O-]
189	CG	N[C@@H](CC1=CC=C(OCC2=CC3=C(C=C2[N+](=O)[O-])SCO3)C=C1)C(=O)O
190	CH	C[C@@H](OC1=CC=C(C[C@H](N)C(=O)O)C=C1)C1=CC2=C(C=C1[N+](=O)[O-])OCO2
191	CI	N[C@@H](CC1=CC=C(OS(=O)(=O)F)C=C1)C(=O)O
192	CJ	N[C@H](C(=O)O)[C@H](F)C1=CC=C(OCC2=C([N+](=O)[O-])C=CC=C2)C=C1
193	CK	CN(C)P(=O)(OC1=CC=C(C[C@H](N)C(=O)O)C=C1)N(C)C
194	CL	N[C@@H](CC1=CC=C(OCCCCl)C=C1)C(=O)O
195	CM	N[C@@H](CC1=CC=C(OCCBr)C=C1)C(=O)O
196	CN	N[C@@H](CC1=CC=C(OCCI)C=C1)C(=O)O
197	CO	N[C@@H](CC1=CC=C(OCCCI)C=C1)C(=O)O
198	CP	N[C@@H](CC1=CC=C(OCCS)C=C1)C(=O)O
199	CQ	N[C@@H](CC1=CC=C(OCCCS)C=C1)C(=O)O
200	CR	N[C@@H](CC1=CC=C(OCCCCS)C=C1)C(=O)O
201	CS	N[C@@H](CC1=C(F)C=CC=C1F)C(=O)O
